symbol,entry_date,entry_price,shares,weight,current_price,current_value,unrealised_pct,composite_momentum
HUM,2026-07-07,394.62,4,18.0,396.62,1586.48,0.51,47.98
CAT,2026-08-03,814.81,2,18.0,783.54,1567.08,-3.84,34.18
FDX,2026-09-01,327.4,5,18.0,308.26,1541.3,-5.85,33.43
AMGN,2026-09-01,429.88,4,18.0,375.65,1502.6,-12.62,33.26
CSX,2026-09-01,50.51,35,18.0,48.66,1703.1,-3.66,29.99
